,narrative
0,preparing motion record re: refusals
1,analyzing order re: disqualifying expert
2,briefing compendium re: enforcing foreign judgment
3,revising compendium re: injunction
4,preparing memorandum re: enforcing foreign judgment
5,researching notice of motion re: refusals
6,analyzing book of authority re: enforcing foreign judgment
7,proofing book of authority re: refusals
8,preparing order re: injunction
9,proofing analysis re: refusals
10,drafting book of authority re: disqualifying expert
11,proofing memo re: motion to strike
12,researching compendium re: disqualifying expert
13,reviewing factum re: injunction
14,proofing memorandum re: enforcing foreign judgment
15,revising motion record re: refusals
16,revising memorandum re: motion to strike
17,writing factum re: summary judgment
18,editing book of authority re: disqualifying expert
19,reviewing factum re: enforcing foreign judgment
20,writing analysis re: injunction
21,briefing analysis re: disqualifying expert
22,editing affidavit re: refusals
23,drafting order re: injunction
24,revising motion record re: enforcing foreign judgment
25,reviewing memorandum re: disqualifying expert
26,proofing compendium re: motion to strike
27,preparing memo re: enforcing foreign judgment
28,reviewing factum re: refusals
29,proofing compendium re: motion to strike
30,analyzing memo re: enforcing foreign judgment
31,reviewing affidavit re: summary judgment
32,drafting motion record re: disqualifying expert
33,reviewing book of authority re: enforcing foreign judgment
34,writing compendium re: enforcing foreign judgment
35,writing analysis re: summary judgment
36,proofing order re: summary judgment
37,analyzing book of authority re: motion to strike
38,analyzing book of authority re: motion to strike
39,writing motion record re: disqualifying expert
40,researching affidavit re: motion to strike
41,researching order re: motion to strike
42,drafting memorandum re: disqualifying expert
43,researching memorandum re: motion to strike
44,drafting factum re: enforcing foreign judgment
45,reviewing notice of motion re: enforcing foreign judgment
46,briefing memo re: enforcing foreign judgment
47,drafting book of authority re: injunction
48,researching book of authority re: refusals
49,revising analysis re: enforcing foreign judgment
50,writing analysis re: injunction
51,researching book of authority re: motion to strike
52,proofing memo re: disqualifying expert
53,analyzing notice of motion re: motion to strike
54,editing order re: summary judgment
55,revising analysis re: summary judgment
56,analyzing motion record re: injunction
57,researching order re: refusals
58,editing memo re: enforcing foreign judgment
59,editing motion record re: summary judgment
60,briefing analysis re: enforcing foreign judgment
61,revising memo re: enforcing foreign judgment
62,writing motion record re: injunction
63,revising order re: refusals
64,editing memo re: motion to strike
65,drafting analysis re: refusals
66,analyzing affidavit re: disqualifying expert
67,briefing book of authority re: summary judgment
68,revising order re: injunction
69,analyzing notice of motion re: disqualifying expert
