,narrative,drafting
0,briefing order re: slip and fall beguilingly,1
1,drafting e-mail re: trespass to land pibal,1
2,reviewing memo re: MVA bivouacking,0
3,addressing brief re: force majeure choush,0
4,reviewing compendium re: misfeasance in public office scholardom,0
5,addressing submission re: jurisdiction simpliciter unantagonising,0
6,discussing compendium re: deceit unrurally,0
7,finalizing e-mail re: necessity verifiability,0
8,analyzing motion record re: forum non conveniens mononeural,0
9,writing compendium re: passing off darkliest,1
10,proofing brief re: limitation period concettism,0
11,attending to order re: necessity platysternal,0
12,drafting motion record re: breach of good faith prorogations,1
13,briefing brief re: rescission sashays,1
14,drafting order re: misfeasance tartness,1
15,writing brief re: act of God offscape,1
16,reviewing e-mail re: novation demagnetization,0
17,finalizing email re: unlawful means predisplaced,0
18,analyzing compendium re: unlawful means glycoprotein,0
19,finalizing e-mail re: parol evidence rule chalets,0
20,attending to factum re: illegality of contract unsyllabicated,0
21,attending to motion record re: laches bromeliad,0
22,addressing memorandum re: vexatious litigant subformatively,0
23,editing e-mail re: specific performance genera,1
24,writing e-mail re: novation fatted,1
25,editing brief re: forum non conveniens stirs,1
26,researching compendium re: contract interpretation phora,0
27,researching e-mail re: restitution coinmates,0
28,briefing e-mail re: unlawful means suppress,1
29,finalizing factum re: exclusion clause attornment,0
30,researching factum re: act of God cacocnemia,0
31,reviewing compendium re: breach of contract majidieh,0
32,finalizing notice of motion re: agency autopsying,0
33,editing memorandum re: injurious falsehood geometricism,1
34,revising submission re: invasion of seclusion orlo,1
35,drafting affidavit re: intenional inference with contractual relations mesohippus,1
36,preparing compendium re: trespass hornets,0
37,writing motion record re: laches gliadin,1
38,analyzing order re: limitation of liability boldest,0
39,considering factum re: unjust enrichment morth,0
40,reviewing memorandum re: unlawful means eruptiveness,0
41,revising memorandum re: summary judgment laicizer,1
42,editing memorandum re: necessity bordures,1
43,finalizing memo re: maintenance jingling,0
44,writing analysis re: battery clupeid,1
45,writing compendium re: trespass triphasic,1
46,attending to motion record re: necessity corralling,0
47,researching e-mail re: unconscionability jarbird,0
48,preparing affidavit re: waiver of liability tanchelmian,0
49,discussing book of authority re: passing off machinism,0
50,discussing analysis re: intrusion of seclusion antirepublican,0
51,writing compendium re: summary judgment matie,1
52,drafting memo re: sale of land danseuse,1
53,attending to order re: pre-emptive waiver of liability tomorrower,0
54,preparing e-mail re: false arrest reaggravation,0
55,reviewing brief re: acquiescence phenylated,0
56,addressing factum re: estoppel anisotropism,0
57,writing motion record re: negligent misrepresentation rhetorically,1
58,drafting memorandum re: trespass repudiative,1
59,researching affidavit re: injurious falsehood octavius,0
60,briefing book of authority re: assault uninhumed,1
61,finalizing book of authority re: rule in Browne v. Dunn diene,0
62,reviewing analysis re: fraudulent misrepresentation thermoperiod,0
63,briefing analysis re: contract interpretation sanyasi,1
64,briefing affidavit re: negligent misrepresentation lob,1
65,proofing email re: res judicata dogberries,0
66,attending to memo re: conversion piscivorous,0
67,writing affidavit re: slip and fall galyak,1
68,analyzing e-mail re: statutory authority tagwerk,0
69,preparing order re: non est factum wallpapering,0
70,drafting analysis re: passing off cozy,1
71,discussing memorandum re: copyright nepote,0
72,considering analysis re: damages bidstand,0
73,discussing analysis re: limitation period ruts,0
74,revising memo re: non-justiciability cachinnator,1
75,briefing notice of motion re: vexatious litigant beroll,1
76,editing factum re: breach of warranty of authority dubbed,1
77,drafting compendium re: trespass fireside,1
78,attending to notice of motion re: justification enthraller,0
79,analyzing compendium re: damages reoutfitting,0
80,revising submission re: slander of title unscintillating,1
81,editing judgement re: statutory authority tingi,1
82,finalizing brief re: jurisdiction simpliciter unwithering,0
83,editing motion record re: damages cotty,1
84,writing judgement re: disqualifying expert alchemies,1
85,discussing motion record re: defamation enunciators,0
86,briefing judgement re: fundamental breach of contract blanketless,1
87,considering factum re: limitation of liability expermentized,0
88,proofing memorandum re: summary judgment zincographic,0
89,editing judgement re: slander of title illustratory,1
90,writing compendium re: ex turpi causa dearths,1
91,attending to email re: conversion overlively,0
92,finalizing affidavit re: piercing the corporate veil armholes,0
93,considering factum re: strict liability foreuse,0
94,writing email re: set-off osteophagia,1
95,considering affidavit re: non-justiciability homecoming,0
96,discussing motion record re: sale of land quirinca,0
97,writing motion record re: malicious prosecution doorsteps,1
98,writing email re: refusals darioles,1
99,finalizing book of authority re: unlawful means revieweress,0
100,editing analysis re: trespass to land quizzish,1
101,analyzing memo re: slander of title swiss,0
102,finalizing brief re: motion to strike omphalitis,0
103,finalizing submission re: nuisance sophronizing,0
